Column,Name of Field,Description,Comments,,,,,
SS,FEMALE_DPC_PHYSICIAN_ASSOC_FTE,Female Physician Associates Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
ST,FEMALE_DPC_THERA_COU_FTE,Female Therapist- Counsellors Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
SU,FEMALE_DPC_THERA_OCC_FTE,Female Therapist- Occupational Therapists Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
SV,FEMALE_DPC_THERA_OTH_FTE,Female Therapist- Other Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
SW,FEMALE_DPC_NURSE_ASSOC_FTE,Female Nursing Associates Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
SX,FEMALE_DPC_PARAMED_FTE,Female Paramedics Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
SY,FEMALE_DPC_PHARMT_FTE,Total Pharmacy Technicians Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
SZ,FEMALE_DPC_SPLW_FTE,Total Social Prescribing Link Workers Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TA,FEMALE_DPC_HI_THERA_FTE,Total High Intensity Therapists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TB,FEMALE_DPC_TRAINEE_HI_THERA_FTE,Total Trainee High Intensity Therapists Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TC,FEMALE_DPC_PSYCH_WELLB_PRAC_FTE,Total Psychological Wellbeing Practitioners Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TD,FEMALE_DPC_TRAINEE_PSYCH_WELLB_PRAC_FTE,Total Trainee Psychological Wellbeing Practitioners Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TE,FEMALE_DPC_APP_HCA_FTE,Female Apprentice - Health Care Assistants Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TF,FEMALE_DPC_APP_PHLEB_FTE,Female Apprentice - Phlebotomists Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TG,FEMALE_DPC_APP_PHARMA_FTE,Female Apprentice - Pharmacists Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TH,FEMALE_DPC_APP_PHYSIO_FTE,Female Apprentice - Physiotherapists Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TI,FEMALE_DPC_APP_OTH_FTE,Female Apprentice - Other Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TJ,FEMALE_DPC_APPRENTICE_FTE,Female Apprentice Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TK,FEMALE_DPC_OTH_FTE,Female Other Direct Patient Care Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TL,TOTAL_DPC_HC_UNDER25,Total Direct Patient Care aged Under 25 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TM,TOTAL_DPC_HC_25TO29,Total Direct Patient Care aged 25 to 29 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TN,TOTAL_DPC_HC_30TO34,Total Direct Patient Care aged 30 to 34 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TO,TOTAL_DPC_HC_35TO39,Total Direct Patient Care aged 35 to 39 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TP,TOTAL_DPC_HC_40TO44,Total Direct Patient Care aged 40 to 44 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TQ,TOTAL_DPC_HC_45TO49,Total Direct Patient Care aged 45 to 49 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TR,TOTAL_DPC_HC_50TO54,Total Direct Patient Care aged 50 to 54 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TS,TOTAL_DPC_HC_55TO59,Total Direct Patient Care aged 55 to 59 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TT,TOTAL_DPC_HC_60TO64,Total Direct Patient Care aged 60 to 64 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TU,TOTAL_DPC_HC_65TO69,Total Direct Patient Care aged 65 to 69 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TV,TOTAL_DPC_HC_70PLUS,Total Direct Patient Care aged 70 and Over Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TW,TOTAL_DPC_HC_UNKNOWN_AGE,Total Direct Patient Care with unknown age Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TX,MALE_DPC_HC_UNDER25,Male Direct Patient Care aged Under 25 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TY,MALE_DPC_HC_25TO29,Male Direct Patient Care aged 25 to 29 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
TZ,MALE_DPC_HC_30TO34,Male Direct Patient Care aged 30 to 34 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UA,MALE_DPC_HC_35TO39,Male Direct Patient Care aged 35 to 39 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UB,MALE_DPC_HC_40TO44,Male Direct Patient Care aged 40 to 44 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UC,MALE_DPC_HC_45TO49,Male Direct Patient Care aged 45 to 49 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UD,MALE_DPC_HC_50TO54,Male Direct Patient Care aged 50 to 54 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UE,MALE_DPC_HC_55TO59,Male Direct Patient Care aged 55 to 59 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UF,MALE_DPC_HC_60TO64,Male Direct Patient Care aged 60 to 64 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UG,MALE_DPC_HC_65TO69,Male Direct Patient Care aged 65 to 69 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UH,MALE_DPC_HC_70PLUS,Male Direct Patient Care aged 70 and Over Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UI,MALE_DPC_HC_UNKNOWN_AGE,Male Direct Patient Care with unknown age Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UJ,FEMALE_DPC_HC_UNDER25,Female Direct Patient Care aged Under 25 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UK,FEMALE_DPC_HC_25TO29,Female Direct Patient Care aged 25 to 29 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UL,FEMALE_DPC_HC_30TO34,Female Direct Patient Care aged 30 to 34 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UM,FEMALE_DPC_HC_35TO39,Female Direct Patient Care aged 35 to 39 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UN,FEMALE_DPC_HC_40TO44,Female Direct Patient Care aged 40 to 44 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UO,FEMALE_DPC_HC_45TO49,Female Direct Patient Care aged 45 to 49 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UP,FEMALE_DPC_HC_50TO54,Female Direct Patient Care aged 50 to 54 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UQ,FEMALE_DPC_HC_55TO59,Female Direct Patient Care aged 55 to 59 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UR,FEMALE_DPC_HC_60TO64,Female Direct Patient Care aged 60 to 64 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
US,FEMALE_DPC_HC_65TO69,Female Direct Patient Care aged 65 to 69 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UT,FEMALE_DPC_HC_70PLUS,Female Direct Patient Care aged 70 and Over Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UU,FEMALE_DPC_HC_UNKNOWN_AGE,Female Direct Patient Care with unknown age Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UV,TOTAL_ADMIN_HC,Total Admin/Non-clinical Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UW,TOTAL_ADMIN_MANAGER_HC,Total Manager Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UX,TOTAL_ADMIN_MANAGE_PTNR_HC,Total Management Partner Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UY,TOTAL_ADMIN_MED_SECRETARY_HC,Total Medical Secretary Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
UZ,TOTAL_ADMIN_RECEPT_HC,Total Receptionist Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VA,TOTAL_ADMIN_TELEPH_HC,Total Telephonist Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VB,TOTAL_ADMIN_ESTATES_ANC_HC,Total Estates and Ancillary Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VC,TOTAL_ADMIN_OTH_HC,Total Admin/Non-clinical Other Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VD,TOTAL_ADMIN_APP_HC,Total Admin/Non-clinical Apprentice Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VE,MALE_ADMIN_HC,Male Admin/Non-clinical Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VF,MALE_ADMIN_MANAGER_HC,Male Manager Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VG,MALE_ADMIN_MANAGE_PTNR_HC,Male Management Partner Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VH,MALE_ADMIN_MED_SECRETARY_HC,Male Medical Secretary Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VI,MALE_ADMIN_RECEPT_HC,Male Receptionist Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VJ,MALE_ADMIN_TELEPH_HC,Male Telephonist Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VK,MALE_ADMIN_ESTATES_ANC_HC,Male Estates and Ancillary Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VL,MALE_ADMIN_OTH_HC,Male Admin/Non-clinical Other Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VM,MALE_ADMIN_APP_HC,Male Admin/Non-clinical Apprentice Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VN,FEMALE_ADMIN_HC,Female Admin/Non-clinical Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VO,FEMALE_ADMIN_MANAGER_HC,Female Manager Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VP,FEMALE_ADMIN_MANAGE_PTNR_HC,Female Management Partner Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VQ,FEMALE_ADMIN_MED_SECRETARY_HC,Female Medical Secretary Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VR,FEMALE_ADMIN_RECEPT_HC,Female Receptionist Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VS,FEMALE_ADMIN_TELEPH_HC,Female Telephonist Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VT,FEMALE_ADMIN_ESTATES_ANC_HC,Female Estates and Ancillary Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VU,FEMALE_ADMIN_OTH_HC,Female Admin/Non-clinical Other Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VV,FEMALE_ADMIN_APP_HC,Female Admin/Non-clinical Apprentice Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VW,TOTAL_ADMIN_FTE,Total Admin/Non-clinical Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VX,TOTAL_ADMIN_MANAGER_FTE,Total Manager Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VY,TOTAL_ADMIN_MANAGE_PTNR_FTE,Total Management Partner Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
VZ,TOTAL_ADMIN_MED_SECRETARY_FTE,Total Medical Secretary Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WA,TOTAL_ADMIN_RECEPT_FTE,Total Receptionist Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WB,TOTAL_ADMIN_TELEPH_FTE,Total Telephonist Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WC,TOTAL_ADMIN_ESTATES_ANC_FTE,Total Estates and Ancillary Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WD,TOTAL_ADMIN_OTH_FTE,Total Admin/Non-clinical Other Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WE,TOTAL_ADMIN_APP_FTE,Total Admin/Non-clinical Apprentice Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WF,MALE_ADMIN_FTE,Male Admin/Non-clinical Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WG,MALE_ADMIN_MANAGER_FTE,Male Manager Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WH,MALE_ADMIN_MANAGE_PTNR_FTE,Male Management Partner Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WI,MALE_ADMIN_MED_SECRETARY_FTE,Male Medical Secretary Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WJ,MALE_ADMIN_RECEPT_FTE,Male Receptionist Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WK,MALE_ADMIN_TELEPH_FTE,Male Telephonist Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WL,MALE_ADMIN_ESTATES_ANC_FTE,Male Estates and Ancillary Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WM,MALE_ADMIN_OTH_FTE,Male Admin/Non-clinical Other Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WN,MALE_ADMIN_APP_FTE,Male Admin/Non-clinical Apprentice Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WO,FEMALE_ADMIN_FTE,Female Admin/Non-clinical Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WP,FEMALE_ADMIN_MANAGER_FTE,Female Manager Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WQ,FEMALE_ADMIN_MANAGE_PTNR_FTE,Female Management Partner Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WR,FEMALE_ADMIN_MED_SECRETARY_FTE,Female Medical Secretary Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
WS,FEMALE_ADMIN_RECEPT_FTE,Female Receptionist Full Time Equivalent," 'ND' denotes practices who have No (valid) Data in the current extraction, having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
